Topic ID,Topic,Category,Category ID,Label,retained
0,Measure-probability-confirmation,Epistemology,M,M0_Measure-probability-confirmation_(Epistemology),yes
1,Code,Publishing,Z,Z1_Code_(Publishing),no
2,Economy,Social sciences,K,K2_Economy_(Social sciences),yes
3,Space-time,Metaphysics,P,P3_Space-time_(Metaphysics),yes
4,Realism,Metaphysics,P,P4_Realism_(Metaphysics),yes
5,Natural-kinds,Metaphysics,P,P5_Natural-kinds_(Metaphysics),yes
6,Evolutionary-games,Biology,H,H6_Evolutionary-games_(Biology),yes
7,"Say, thing, mean",Publishing,Z,"Z7_Say, thing, mean_(Publishing)",no
8,Quantum-mechanics,Physics,D,D8_Quantum-mechanics_(Physics),yes
9,Neuroscience,Mind,I,I9_Neuroscience_(Mind),yes
10,Induction,Epistemology,M,M10_Induction_(Epistemology),yes
11,Truth,Logic,B,B11_Truth_(Logic),yes
12,Adaptation,Biology,H,H12_Adaptation_(Biology),yes
13,Laws-of-nature,Metaphysics,P,P13_Laws-of-nature_(Metaphysics),yes
14,Stop words,Publishing,Z,Z14_Stop words_(Publishing),no
15,Class-set,Jargon,Y,Y15_Class-set_(Jargon),no
16,Intentionality,Mind,I,I16_Intentionality_(Mind),yes
17,Probabilities,Epistemology,M,M17_Probabilities_(Epistemology),yes
18,Problem-question,Jargon,Y,Y18_Problem-question_(Jargon),no
19,Relativity,Physics,D,D19_Relativity_(Physics),yes
20,Proposition-consistency,Logic,B,B20_Proposition-consistency_(Logic),yes
21,Philosophical-schools,Varia,L,L21_Philosophical-schools_(Varia),yes
22,Social-science,Social sciences,K,K22_Social-science_(Social sciences),yes
23,Numericals,Publishing,Z,Z23_Numericals_(Publishing),no
24,Clear,Jargon,Y,Y24_Clear_(Jargon),no
25,Differences,Jargon,Y,Y25_Differences_(Jargon),no
26,Mathematical-equations,Mathematics,C,C26_Mathematical-equations_(Mathematics),yes
27,Remaining-question,Jargon,Y,Y27_Remaining-question_(Jargon),no
28,Life-consciousness-emotions,Biology,H,H28_Life-consciousness-emotions_(Biology),yes
29,"Letters, numbers",Publishing,Z,"Z29_Letters, numbers_(Publishing)",no
30,Thesis,Jargon,Y,Y30_Thesis_(Jargon),no
31,Teleology,Biology,H,H31_Teleology_(Biology),yes
32,Causal-process,Metaphysics,P,P32_Causal-process_(Metaphysics),yes
33,Kuhn,Scientific inquiry,N,N33_Kuhn_(Scientific inquiry),yes
34,Difficult-easy,Jargon,Y,Y34_Difficult-easy_(Jargon),no
35,Science-studies,Varia,L,L35_Science-studies_(Varia),yes
36,Discovery-heuristics,Scientific inquiry,N,N36_Discovery-heuristics_(Scientific inquiry),yes
37,Jargon,Publishing,Z,Z37_Jargon_(Publishing),no
38,Causal-relation,Metaphysics,P,P38_Causal-relation_(Metaphysics),yes
39,Justification,Epistemology,M,M39_Justification_(Epistemology),yes
40,Type-token-kinds,Metaphysics,P,P40_Type-token-kinds_(Metaphysics),yes
41,Space-geometry,Metaphysics,P,P41_Space-geometry_(Metaphysics),yes
42,Argument-objection,Jargon,Y,Y42_Argument-objection_(Jargon),no
43,Observation,Theory,O,O43_Observation_(Theory),yes
44,"Right, wrong",Jargon,Y,"Y44_Right, wrong_(Jargon)",no
45,Modal-logic,Logic,B,B45_Modal-logic_(Logic),yes
46,"Strong, weak",Jargon,Y,"Y46_Strong, weak_(Jargon)",no
47,Interpretation,Theory,O,O47_Interpretation_(Theory),yes
48,Bets-odds,Epistemology,M,M48_Bets-odds_(Epistemology),yes
49,Definition,Language,A,A49_Definition_(Language),yes
50,Science-and-values,Varia,L,L50_Science-and-values_(Varia),yes
51,Patterns-structures,Varia,L,L51_Patterns-structures_(Varia),yes
52,Discovery-replacement,Theory,O,O52_Discovery-replacement_(Theory),yes
53,Ordering,Publishing,Z,Z53_Ordering_(Publishing),no
54,Assumption,Theory,O,O54_Assumption_(Theory),yes
55,Thermodynamics-Entropy,Physics,D,D55_Thermodynamics-Entropy_(Physics),yes
56,Neurosciences,Mind,I,I56_Neurosciences_(Mind),yes
57,Experiment,Theory,O,O57_Experiment_(Theory),yes
58,Example,Publishing,Z,Z58_Example_(Publishing),no
59,Error-risk,Epistemology,M,M59_Error-risk_(Epistemology),yes
60,Test-hypothesis,Epistemology,M,M60_Test-hypothesis_(Epistemology),yes
61,Clear,Jargon,Y,Y61_Clear_(Jargon),no
62,Research-work-program,Scientific inquiry,N,N62_Research-work-program_(Scientific inquiry),yes
63,"Notion, concept",Jargon,Y,"Y63_Notion, concept_(Jargon)",no
64,Time period,Publishing,Z,Z64_Time period_(Publishing),no
65,Probability-chance,Epistemology,M,M65_Probability-chance_(Epistemology),yes
66,"Point, view",Jargon,Y,"Y66_Point, view_(Jargon)",no
67,Electromagnetism,Physics,D,D67_Electromagnetism_(Physics),yes
68,Domain,Jargon,Y,Y68_Domain_(Jargon),no
69,"Issue, question",Jargon,Y,"Y69_Issue, question_(Jargon)",no
70,Celestial-mechanics,Physics,D,D70_Celestial-mechanics_(Physics),yes
71,Change,Jargon,Y,Y71_Change_(Jargon),no
72,Prediction,Theory,O,O72_Prediction_(Theory),yes
73,Thermodynamics-Perfect-gases,Physics,D,D73_Thermodynamics-Perfect-gases_(Physics),yes
